d_donor_A,d_acceptor_A
1.557550626102060409e+00,1.073607096334376454e+00
1.557545542955398377e+00,1.073612421035295306e+00
1.557536917166089552e+00,1.073621316897087619e+00
1.557521305749914653e+00,1.073637591653706869e+00
1.557499548627843566e+00,1.073660204524116368e+00
1.557473163123790361e+00,1.073687508849244354e+00
1.557442960128825327e+00,1.073718093305906951e+00
1.557406621289774806e+00,1.073755098506618211e+00
1.557365556164541642e+00,1.073797201836722781e+00
1.557319168165897327e+00,1.073845190078337231e+00
1.557268939004703201e+00,1.073896858495514639e+00
1.557215439818491864e+00,1.073951399053586941e+00
1.557159953605116165e+00,1.074007486216992602e+00
1.557101582415464147e+00,1.074066294102482999e+00
1.557039559325873679e+00,1.074128486804915017e+00
1.556973261939632369e+00,1.074195028509064898e+00
1.556902714075314220e+00,1.074265927916855601e+00
1.556828487625817825e+00,1.074340729185370158e+00
1.556750222715762133e+00,1.074419607352816941e+00
1.556667710395716719e+00,1.074502702133161458e+00
1.556582165424153397e+00,1.074588774568392191e+00
1.556493404175091744e+00,1.074677977627876757e+00
1.556401814559372321e+00,1.074769703831070622e+00
1.556305892713404582e+00,1.074865967008619361e+00
1.556205321402574837e+00,1.074966785790030466e+00
1.556101286563165376e+00,1.075071094341447875e+00
1.555994513183705186e+00,1.075178245051708004e+00
1.555883609805099654e+00,1.075289542862621017e+00
1.555767519102228880e+00,1.075406240446050488e+00
1.555646483479059095e+00,1.075527871478009434e+00
1.555519680725779619e+00,1.075655386061806773e+00
1.555388891358010728e+00,1.075786627376954740e+00
1.555252828140158750e+00,1.075923156584936757e+00
1.555112037536588776e+00,1.076064412454812880e+00
1.554966966668947626e+00,1.076209969846764425e+00
1.554817691055621953e+00,1.076359887906583213e+00
1.554663113447163569e+00,1.076515121090132920e+00
1.554504144310806302e+00,1.076674450907649794e+00
1.554341334256921670e+00,1.076837538782559500e+00
1.554173055692595451e+00,1.077006146624432281e+00
1.553999360185302159e+00,1.077180190125041959e+00
1.553822411508284596e+00,1.077357277092268806e+00
1.553640045584397722e+00,1.077539779873185166e+00
1.553452315117071381e+00,1.077727471018482097e+00
