file,method,molecule,ref_cm1,full_cm1,full_delta,h1_cm1,h1_delta,h2_cm1,h2_delta
ctpb_HH.in.out,ctpb,HH,4114.43,4117.07,2.64,4078.00,-36.43,4336.53,222.10
otpb_HH.in.out,otpb,HH,4114.43,4436.82,322.39,4436.82,322.39,,
ctpb_OHH.in.out,ctpb,OHH,1604.48,1582.09,-22.39,1608.20,3.72,1585.16,-19.32
ctpb_OHH.in.out,ctpb,OHH,3644.27,3697.02,52.75,3696.80,52.53,3696.80,52.53
ctpb_OHH.in.out,ctpb,OHH,3697.18,3697.02,-0.16,3696.80,-0.38,3697.24,0.06
otpb_OHH.in.out,otpb,OHH,1604.48,663.65,-940.83,663.65,-940.83,,
otpb_OHH.in.out,otpb,OHH,3644.27,,,,,,
otpb_OHH.in.out,otpb,OHH,3697.18,,,,,,
ctpb_OCHH_2.in.out,ctpb,OCHH_2,1187.65,1195.62,7.97,1195.18,7.53,1195.40,7.75
ctpb_OCHH_2.in.out,ctpb,OCHH_2,1247.25,1236.66,-10.59,1249.17,1.92,1230.29,-16.96
ctpb_OCHH_2.in.out,ctpb,OCHH_2,1517.22,1482.67,-34.55,1482.67,-34.55,1533.37,16.15
ctpb_OCHH_2.in.out,ctpb,OCHH_2,1798.49,1808.35,9.86,1808.57,10.08,1807.91,9.42
ctpb_OCHH_2.in.out,ctpb,OCHH_2,2739.48,2813.48,74.00,2813.92,74.44,2815.89,76.41
ctpb_OCHH_2.in.out,ctpb,OCHH_2,2749.10,2813.48,64.38,2813.92,64.82,2815.89,66.79
otpb_OCHH.in.out,otpb,OCHH,1187.65,851.50,-336.15,944.99,-242.66,1388.30,200.65
otpb_OCHH.in.out,otpb,OCHH,1247.25,851.50,-395.75,944.99,-302.26,1388.30,141.05
otpb_OCHH.in.out,otpb,OCHH,1517.22,1808.13,290.91,1806.37,289.15,1497.16,-20.06
otpb_OCHH.in.out,otpb,OCHH,1798.49,1808.13,9.64,1806.37,7.88,2094.53,296.04
otpb_OCHH.in.out,otpb,OCHH,2739.48,1808.35,-931.13,2592.04,-147.44,2094.53,-644.95
otpb_OCHH.in.out,otpb,OCHH,2749.10,1808.35,-940.75,2592.04,-157.06,2094.53,-654.57
ctpb_COOHH_2.in.out,ctpb,COOHH_2,625.59,622.17,-3.42,627.87,2.28,622.61,-2.98
ctpb_COOHH_2.in.out,ctpb,COOHH_2,638.37,632.48,-5.89,627.87,-10.50,622.61,-15.76
ctpb_COOHH_2.in.out,ctpb,COOHH_2,1034.39,1042.87,8.48,1049.02,14.63,1045.73,11.34
ctpb_COOHH_2.in.out,ctpb,COOHH_2,1111.48,1106.52,-4.96,1068.11,-43.37,1045.73,-65.75
ctpb_COOHH_2.in.out,ctpb,COOHH_2,1252.96,1270.01,17.05,1255.75,2.79,1275.50,22.54
ctpb_COOHH_2.in.out,ctpb,COOHH_2,1394.18,1458.09,63.91,1517.57,123.39,1331.46,-62.72
ctpb_COOHH_2.in.out,ctpb,COOHH_2,1802.29,1820.20,17.91,1819.54,17.25,1819.98,17.69
ctpb_COOHH_2.in.out,ctpb,COOHH_2,2906.30,2985.53,79.23,2986.19,79.89,2985.75,79.45
ctpb_COOHH_2.in.out,ctpb,COOHH_2,3508.67,3499.51,-9.16,3595.41,86.74,3604.41,95.74
otpb_COOHH.in.out,otpb,COOHH,625.59,639.73,14.14,637.31,11.72,626.56,0.97
otpb_COOHH.in.out,otpb,COOHH,638.37,639.73,1.36,637.31,-1.06,632.70,-5.67
otpb_COOHH.in.out,otpb,COOHH,1034.39,1152.60,118.21,1167.97,133.58,1167.09,132.70
otpb_COOHH.in.out,otpb,COOHH,1111.48,1152.60,41.12,1167.97,56.49,1167.09,55.61
otpb_COOHH.in.out,otpb,COOHH,1252.96,1205.71,-47.25,1220.86,-32.10,1286.25,33.29
otpb_COOHH.in.out,otpb,COOHH,1394.18,1385.89,-8.29,1220.86,-173.32,1405.20,11.02
otpb_COOHH.in.out,otpb,COOHH,1802.29,1820.86,18.57,1819.76,17.47,1811.86,9.57
otpb_COOHH.in.out,otpb,COOHH,2906.30,2778.58,-127.72,2780.12,-126.18,2530.37,-375.93
otpb_COOHH.in.out,otpb,COOHH,3508.67,3174.93,-333.74,3075.51,-433.16,2530.37,-978.30
