file,method,molecule,ref_cm1,full_cm1,full_delta,h1_cm1,h1_delta,h2_cm1,h2_delta
ctpb_NCH.in.out,ctpb,NCH,760.16,761.75,1.59,761.75,1.59,761.75,1.59
ctpb_NCH.in.out,ctpb,NCH,2175.73,2195.92,20.19,2194.16,18.43,2194.60,18.87
ctpb_NCH.in.out,ctpb,NCH,3327.84,3345.01,17.17,3343.91,16.07,3345.45,17.61
otpb_NCH.in.out,otpb,NCH,760.16,842.29,82.13,759.33,-0.83,1057.14,296.98
otpb_NCH.in.out,otpb,NCH,2175.73,2143.68,-32.05,2181.87,6.14,2172.87,-2.86
otpb_NCH.in.out,otpb,NCH,3327.84,3308.36,-19.48,3161.10,-166.74,3347.86,20.02
ctpb_CNH.in.out,ctpb,CNH,457.16,444.41,-12.75,444.41,-12.75,444.41,-12.75
ctpb_CNH.in.out,ctpb,CNH,2067.85,2099.13,31.28,2100.45,32.60,2099.13,31.28
ctpb_CNH.in.out,ctpb,CNH,3625.56,3604.19,-21.37,3619.99,-5.57,3612.53,-13.03
otpb_CNH.in.out,otpb,CNH,457.16,468.33,11.17,453.84,-3.32,443.97,-13.19
otpb_CNH.in.out,otpb,CNH,2067.85,2069.73,1.88,2120.42,52.57,2004.99,-62.86
otpb_CNH.in.out,otpb,CNH,3625.56,3616.70,-8.86,3655.98,30.42,3796.22,170.66
ctpb_FFH.in.out,ctpb,FFH,592.28,640.38,48.10,453.40,-138.88,454.28,-138.00
ctpb_FFH.in.out,ctpb,FFH,1350.77,1353.63,2.86,1352.09,1.32,1351.87,1.10
ctpb_FFH.in.out,ctpb,FFH,1720.57,1955.17,234.60,2006.08,285.51,2006.08,285.51
otpb_FFH.in.out,otpb,FFH,592.28,662.33,70.05,609.88,17.60,623.71,31.43
otpb_FFH.in.out,otpb,FFH,1350.77,1427.81,77.04,611.42,-739.35,1366.36,15.59
otpb_FFH.in.out,otpb,FFH,1720.57,1778.72,58.15,,,1741.63,21.06
