file,method,molecule,ref_cm1,full_cm1,full_delta,h1_cm1,h1_delta,h2_cm1,h2_delta
ctpb_NCH.in.out,ctpb,NCH,760.16,779.96,19.80,779.96,19.80,779.96,19.80
ctpb_NCH.in.out,ctpb,NCH,2175.73,2192.40,16.67,2192.40,16.67,2191.53,15.80
ctpb_NCH.in.out,ctpb,NCH,3327.84,3349.84,22.00,3351.15,23.31,3344.57,16.73
otpb_NCH.in.out,otpb,NCH,760.16,808.49,48.33,808.49,48.33,808.49,48.33
otpb_NCH.in.out,otpb,NCH,2175.73,2242.00,66.27,2242.00,66.27,2242.00,66.27
otpb_NCH.in.out,otpb,NCH,3327.84,3492.70,164.86,3492.70,164.86,3491.39,163.55
ctpb_CNH.in.out,ctpb,CNH,457.16,462.18,5.02,462.62,5.46,462.18,5.02
ctpb_CNH.in.out,ctpb,CNH,2067.85,2101.99,34.14,2101.99,34.14,2101.99,34.14
ctpb_CNH.in.out,ctpb,CNH,3625.56,3608.36,-17.20,3578.73,-46.83,3672.66,47.10
otpb_CNH.in.out,otpb,CNH,457.16,465.26,8.10,465.26,8.10,465.26,8.10
otpb_CNH.in.out,otpb,CNH,2067.85,2115.15,47.30,2115.15,47.30,2115.15,47.30
otpb_CNH.in.out,otpb,CNH,3625.56,3912.31,286.75,3912.09,286.53,3827.38,201.82
ctpb_FFH.in.out,ctpb,FFH,592.28,451.65,-140.63,453.40,-138.88,454.28,-138.00
ctpb_FFH.in.out,ctpb,FFH,1350.77,1353.63,2.86,1352.09,1.32,1351.87,1.10
ctpb_FFH.in.out,ctpb,FFH,1720.57,1954.95,234.38,2006.08,285.51,2006.08,285.51
otpb_FFH.in.out,otpb,FFH,592.28,681.64,89.36,593.20,0.92,463.06,-129.22
otpb_FFH.in.out,otpb,FFH,1350.77,1424.51,73.74,1717.93,367.16,1295.03,-55.74
otpb_FFH.in.out,otpb,FFH,1720.57,1704.55,-16.02,1717.93,-2.64,1583.84,-136.73
